patients_Id,patients_BIRTHDATE,patients_DEATHDATE,patients_SSN,patients_DRIVERS,patients_PASSPORT,patients_PREFIX,patients_FIRST,patients_LAST,patients_SUFFIX,patients_MAIDEN,patients_MARITAL,patients_RACE,patients_ETHNICITY,patients_GENDER,patients_BIRTHPLACE,patients_ADDRESS,patients_CITY,patients_STATE,patients_COUNTY,patients_ZIP,patients_LAT,patients_LON,patients_HEALTHCARE_EXPENSES,patients_HEALTHCARE_COVERAGE,conditions_DESCRIPTION,SDoH_2020_ZIPCODE_1_0_Risk_Score,CMS_Solution,Name_of_Servicer,Servicer_Address,Servicer_ZiPcode,Servicer_LON,Servicer_LAT,Servicer_Phone_Number,Distance_miles_to_Servicer,Primary Key,Gap-dataverse
2e3f986b-0894-4e57-a893-5d7eb334c829,6/14/1945,,999-29-6195,,,,Monica,Thomson,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,301 Denesik Branch,Adams,Massachusetts,Berkshire County,1220,42.61051291,-73.15973798,115877.12,1915.72,Asthma,0.88,Home Air Cleaners ,UI Home Air Cleaners ,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1111,12,"Asthma with SDoH Score of 0.88, Address of Closest Servicer and Phone:UI Home Air Cleaners , 123 Sporer Throughway Adams MA 01013 800-123-1111 and Distance to Servicer 12miles",Asthma with SDoH Score of 0.88
2e3f986b-0894-4e57-a893-5d7eb334c829,6/14/1945,,999-29-6195,,,,Monica,Thomson,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,301 Denesik Branch,Adams,Massachusetts,Berkshire County,1220,42.61051291,-73.15973798,115877.12,1915.72,Asthma,0.88,Carpet Shampooing,NMA Carpet Shampooing,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1112,12,"Asthma with SDoH Risk Score of 0.88, Address of Closest Servicer and Phone:NMA Carpet Shampooing, 123 Sporer Throughway  Adams MA 01013 800-123-1112 and Distance to Servicer 12miles",Asthma with SDoH Score of 0.88
2e3f986b-0894-4e57-a893-5d7eb334c829,6/14/1945,,999-29-6195,,,,Monica,Thomson,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,301 Denesik Branch,Adams,Massachusetts,Berkshire County,1220,42.61051291,-73.15973798,115877.12,1915.72,Diabetes,0.88,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,12,"Diabetes with SDoH Risk Score of 0.88, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Adams MA 01013 800-123-1113 and Distance to Servicer 12miles",Diabetes with SDoH Score of 0.88
2e3f986b-0894-4e57-a893-5d7eb334c829,6/14/1945,,999-29-6195,,,,Monica,Thomson,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,301 Denesik Branch,Adams,Massachusetts,Berkshire County,1220,42.61051291,-73.15973798,115877.12,1915.72,Diabetes,0.88,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,12,"Diabetes with SDoH Risk Score of 0.88, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Adams MA 01013 800-123-1114 and Distance to Servicer 12miles",Diabetes with SDoH Score of 0.88
b271a454-c57e-4566-899a-956e5484c5e1,11/6/1985,,999-25-1978,S99925735,X63252514X,Mr.,Donovan745,Kiehn525,,,M,white,nonhispanic,M,Amherst  Massachusetts  US,539 Kirlin Avenue Unit 59,Pittsfield,Massachusetts,Berkshire County,1201,42.47313553,-73.23182202,841736.21,4772.93,Diabetes,0.85,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,13,"Diabetes with SDoH Risk Score of 0.85, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Pittsfield MA 01013 800-123-1113 and Distance to Servicer 13miles",Diabetes with SDoH Score of 0.85
b271a454-c57e-4566-899a-956e5484c5e1,11/6/1985,,999-25-1978,S99925735,X63252514X,Mr.,Donovan745,Kiehn525,,,M,white,nonhispanic,M,Amherst  Massachusetts  US,539 Kirlin Avenue Unit 59,Pittsfield,Massachusetts,Berkshire County,1201,42.47313553,-73.23182202,841736.21,4772.93,Diabetes,0.85,Diabetes Education Program,XYZ Diabetes Education,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1114,13,"Diabetes with SDoH Risk Score of 0.85, Address of Closest Servicer and Phone:XYZ Diabetes Education, 123 Sporer Throughway  Pittsfield MA 01013 800-123-1114 and Distance to Servicer 13miles",Diabetes with SDoH Score of 0.85
5a1848d9-9b49-4529-94f1-e463b502c73b,2/12/1965,3/3/2000,999-56-6320,S99966540,X651013X,Mr.,Harris789,Metz686,,,M,black,nonhispanic,M,Lowell  Massachusetts  US,904 Blick Pathway Apt 45,Easthampton,Massachusetts,Hampshire County,1027,42.30402237,-72.78954774,892772.9,4910.36,Heart Disease,0.75,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,16,"Heart Disease with SDoH Risk Score of 0.75, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Easthampton MA 01013 800-123-1115 and Distance to Servicer 16miles",Heart Disease with SDoH Score of 0.75
f1e65288-3df1-4bb4-b67e-b41d6f1385a2,6/30/1927,6/27/1988,999-56-6027,S99935994,X45518558X,Mrs.,Sharita792,Osinski784,,Aufderhar910,M,white,nonhispanic,F,Marlborough  Massachusetts  US,461 Turner Wall,North Adams,Massachusetts,Berkshire County,1247,42.70716029,-73.16767366,1389877.65,11129.72,Heart Disease,0.89,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,17,"Heart Disease with SDoH Risk Score of 0.89, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  North Adams MA 01013 800-123-1115 and Distance to Servicer 17miles",Heart Disease with SDoH Score of 0.89
c94479f7-e87d-40d4-be81-fd5ab44a68c3,12/26/1944,,999-12-1481,S99927715,X20606090X,Mr.,Richard937,Rice937,,,M,white,nonhispanic,M,Pepperell  Massachusetts  US,539 Ritchie Bay Apt 49,Greenfield,Massachusetts,Franklin County,1301,42.66282454,-72.58027013,270297.14,29219.04,Heart Disease,0.92,Healthy Food ,WA Healthy Food ,123 Sporer Throughway ,1013,42.50014767,-72.96330699,800-123-1115,22,"Heart Disease with SDoH Risk Score of 0.92, Address of Closest Servicer and Phone:WA Healthy Food , 123 Sporer Throughway  Greenfield MA 01013 800-123-1115 and Distance to Servicer 22miles",Heart Disease with SDoH Score of 0.92
07b30273-070e-47c7-9617-d12785a4c9d5,8/19/1973,,999-22-9908,S99970583,X87463912X,Mrs.,Conchita9,Rol贸n954,,Villalpando154,M,white,hispanic,F,Juarez  Chihuahua  MX,286 Mraz Esplanade,Holyoke,Massachusetts,Hampden County,1040,42.20855579,-72.68149607,1051320.51,9097.82,Diabetes,0.91,Transportation to Doctor抯 Appointment,ABC Transport Services,123 Sporer Throughway,1013,42.50014767,-72.96330699,800-123-1113,24,"Diabetes with SDoH Risk Score of 0.91, Address of Closest Servicer and Phone:ABC Transport Services, 123 Sporer Throughway Holyoke MA 01013 800-123-1113 and Distance to Servicer 24miles",Diabetes with SDoH Score of 0.91
